node_id,zero_rate,observations,avg_speed,traffic_regime,road_type,cusum_flags,ewma_flags,persistence_error,cusum_flag_rate,ewma_flag_rate,topology,density,reliability_original,reliability_equal,reliability_zero_only,reliability_pca,disparity
0,0.0783348627679986,23974,57.06180778184303,free_flow,highway,914,3160,2.6211200030191435,0.038124635021273,0.1318094602486026,4.8790474,4,0.9190122632852257,0.9172436806540419,0.9216651372320014,0.7789969819213685,2.6211200030191435
1,0.0542254108617669,23974,60.93519863118908,free_flow,highway,653,1447,2.1506210100624883,0.0272378409944106,0.0603570534745974,3.8074965,4,0.9499457745891382,0.9527265648897417,0.9457745891382331,0.9931845301108587,2.1506210100624883
2,0.0542254108617669,23974,61.18143683434832,free_flow,highway,940,2518,2.157316226176241,0.0392091432385083,0.1050304496537916,4.7728834,4,0.9386168349044799,0.9338449987486444,0.9457745891382331,0.8261532063872303,2.157316226176241
3,0.0547676649703845,23974,50.06083765017923,free_flow,highway,1098,2550,3.006879277947936,0.0457996162509385,0.1063652289980812,6.349163,5,0.9367064319679653,0.931022496593532,0.9452323350296155,0.7705306112129748,3.006879277947936
4,0.0566446984232919,23974,47.00567600681162,free_flow,highway,1506,5887,3.832567209053194,0.0628180528906315,0.245557687494786,6.529217,5,0.9043380328689413,0.8783265203970969,0.9433553015767081,0.412780951925555,3.832567209053194
5,0.0547259531158755,23974,52.00483175556588,free_flow,highway,1168,2532,3.458323517805665,0.0487194460665721,0.1056144156169183,5.9786325,6,0.9362976557937767,0.930313395066878,0.9452740468841245,0.74816258777566,3.458323517805665
6,0.0547676649703845,23974,55.27170787533056,free_flow,highway,1139,3767,2.798920854735488,0.0475098022858096,0.1571285559355969,2.5448682,0,0.926211729373488,0.9135313256027363,0.9452323350296155,0.6767533197585098,2.798920854735488
7,0.1003170100942687,23974,56.86534875413974,free_flow,highway,777,2405,2.3466695898069467,0.0324101109535329,0.1003170100942687,5.883158,6,0.9132643697338785,0.9223186229526432,0.8996829899057313,0.8622316083111109,2.3466695898069467
8,0.0687828480854258,23974,56.53892103350058,free_flow,highway,957,2331,3.235459098547236,0.0399182447651622,0.0972303328605989,3.9084022,2,0.9313005756235924,0.9313561914296044,0.9312171519145742,0.8244276057608839,3.235459098547236
9,0.060023358638525,23974,53.47822517052203,free_flow,highway,1367,4637,2.676394533231106,0.0570201051138733,0.1934178693584717,1.9547358,4,0.913898389922416,0.8965128889630434,0.939976641361475,0.5398074449838088,2.676394533231106
10,0.0606907483106698,23974,56.7619118462991,free_flow,highway,731,1550,2.6154677984483192,0.0304913656461166,0.0646533744890297,2.9890704,3,0.9445566029865688,0.9480548371847279,0.9393092516893302,0.9564665977704124,2.6154677984483192
11,0.1247601568365729,23974,55.21582892048396,free_flow,highway,947,2929,2.6091805639972403,0.0395011262200717,0.1221740218570117,3.6266563,4,0.8928088762826396,0.9045215650287812,0.8752398431634271,0.7566304472551297,2.6091805639972403
12,0.0555601902060565,23974,38.67476004097031,congested,highway,2003,9631,3.102575558045025,0.0835488445816301,0.4017268707766747,6.5773964,4,0.8696087428047051,0.8197213648118796,0.9444398097939435,0.0,3.102575558045025
13,0.0639859848168849,23974,60.171234975456215,free_flow,highway,839,1971,2.673791349358631,0.0349962459330941,0.0822140652373404,4.2766533,7,0.9381663468757822,0.9396012346708935,0.9360140151831151,0.8905543065981916,2.673791349358631
14,0.0557270376240927,23974,52.63035494139815,free_flow,highway,999,3254,3.834189287071576,0.0416701426545424,0.1357303745724535,4.20866,2,0.9310836739801452,0.9222908150496372,0.9442729623759073,0.7570655626109789,3.834189287071576
15,0.0564778510052556,23974,47.09360949560437,free_flow,highway,1498,6158,3.6183070018975583,0.0624843580545591,0.2568616000667389,4.169542,4,0.9022440977725871,0.8747253969578155,0.9435221489947444,0.39776271058632773,3.6183070018975583
16,0.0547676649703845,23974,29.17968770069692,congested,highway,1201,2503,1.808753894761653,0.0500959372653708,0.1044047718361558,6.6126976,5,0.936239259197464,0.9302438753093629,0.9452323350296155,0.7389307167110939,1.808753894761653
17,0.0546425294068574,23974,53.75803835438126,free_flow,highway,990,2697,3.024527464276776,0.0412947359639609,0.1124968716109118,6.0073805,5,0.936456160840911,0.9305219543394233,0.9453574705931426,0.7973146255290227,3.024527464276776
18,0.0546425294068574,23974,52.8577196393977,free_flow,highway,746,1391,3.445422521223389,0.0311170434637523,0.0580211896220905,2.2409236,3,0.949386835738717,0.9520730791690999,0.9453574705931426,0.9653063380937895,3.445422521223389
19,0.0551013598064569,23974,55.38334286747151,free_flow,highway,972,3006,2.727946363189752,0.040543922582798,0.1253858346542087,5.6343646,4,0.9337532326687246,0.9263229609855121,0.9448986401935431,0.7828109647652083,2.727946363189752
20,0.055977308751147,23974,61.06893219969783,free_flow,highway,823,2126,2.4447619345560865,0.0343288562609493,0.0886794026862434,5.5093412,4,0.9418119629598732,0.9403381441005534,0.944022691248853,0.890317369192562,2.4447619345560865
21,0.0547676649703845,23974,56.97127220163114,free_flow,highway,692,1408,3.338419431897784,0.0288646033202636,0.0587302911487444,2.5499327,3,0.9496204221239677,0.9525458135202025,0.9452323350296155,0.9823041052414658,3.338419431897784
22,0.1625510970217736,23974,40.28025388946491,free_flow,highway,1152,3842,3.1614493578360685,0.0480520563944273,0.1602569450237757,3.6182978,6,0.8608075415032952,0.8763799671866744,0.8374489029782264,0.6060812715840219,3.1614493578360685
23,0.0760824226245098,23974,50.42753644490526,free_flow,highway,1197,3761,3.1038561616354228,0.0499290898473346,0.1568782848085426,2.7666893,2,0.9129890714941187,0.9057034009065377,0.9239175773754902,0.6454789880269229,3.1038561616354228
24,0.0571452406774005,23974,60.36749827193745,free_flow,highway,740,1786,2.484916314764275,0.030866772336698,0.0744973721531659,4.874194,4,0.9446400266955869,0.9458302049442452,0.9428547593225995,0.9399465785169183,2.484916314764275
25,0.0797530658213064,23974,53.21599927699452,free_flow,highway,1128,3730,4.117341091076179,0.04705097188621,0.155585217318762,3.3562179,3,0.9116209226662217,0.9058702483245739,0.9202469341786936,0.668663929324771,4.117341091076179
26,0.1178359889880704,23974,46.93621141818981,free_flow,highway,1374,3340,3.627773341755155,0.0573120880954367,0.1393175940602319,1.0,0,0.8899724701760241,0.8951781096187537,0.8821640110119295,0.5897609776721381,3.627773341755155
27,0.0586885792942354,23974,57.91779707447618,free_flow,highway,692,1498,2.296659641860693,0.0288646033202636,0.0624843580545591,3.9139662,4,0.9465170601484942,0.9499874864436473,0.9413114207057646,0.9741578437127719,2.296659641860693
28,0.0586051555852173,23974,62.20353628798924,free_flow,highway,917,2261,2.1782767972181505,0.0382497705848002,0.0943105030449653,4.878662,4,0.9383248519229165,0.9362781902616724,0.9413948444147827,0.8482930850658907,2.1782767972181505
29,0.0574372236589638,23974,41.10635344374395,free_flow,highway,1025,3235,2.208654464956083,0.0427546508717777,0.1349378493367815,3.324359,4,0.9299991657629099,0.9216234253774923,0.9425627763410362,0.7485841122587942,2.208654464956083
30,0.076207558188037,23974,54.378038592734725,free_flow,highway,896,1967,4.796994693987269,0.0373738216401101,0.0820472178193042,2.090176,4,0.9303912571952949,0.9347904674508496,0.923792441811963,0.8646624667986227,4.796994693987269
31,0.0763744056060732,23974,60.85225973971803,free_flow,highway,894,1898,2.068399032814649,0.037290397931092,0.0791690998581797,1.8946576,2,0.9308834570785017,0.9357220322015517,0.9236255943939268,0.86977503742755,2.068399032814649
32,0.0839242512722115,23974,58.70758182475459,free_flow,highway,1063,2466,2.648028121735054,0.0443397013431217,0.1028614332193209,5.387335,2,0.9202052223241846,0.9229582047217819,0.9160757487277885,0.771237474267107,2.648028121735054
33,0.0574372236589638,23974,55.81247204312608,free_flow,highway,987,2130,2.697715630425024,0.0411696004004338,0.0888462501042796,5.565667,4,0.9395344957036791,0.9375156419454409,0.9425627763410362,0.8339915210030691,2.697715630425024
34,0.0545173938433302,23974,59.52203504855128,free_flow,highway,971,2896,2.719743429058729,0.0405022107282889,0.120797530658213,2.257032,4,0.9350296154167015,0.9280609549233894,0.9454826061566698,0.7907083447328882,2.719743429058729
35,0.0546425294068574,23974,57.66812305592964,free_flow,highway,679,1386,3.334538971451877,0.0283223492116459,0.0578126303495453,1.5289235,3,0.9499874864436473,0.9530741636773171,0.9453574705931426,0.9881991067993402,3.334538971451877
36,0.1909568699424376,23974,52.91086517669274,free_flow,highway,1217,4603,2.3199543056565246,0.0507633269375156,0.1919996663051639,4.18594,3,0.8368732793860015,0.8554267122716276,0.8090431300575625,0.5180125319474591,2.3199543056565246
37,0.111036956703095,23974,55.95236352278461,free_flow,highway,1018,3184,2.865521825231302,0.0424626678902144,0.1328105447568199,5.3190236,6,0.8983231834487362,0.9045632768832902,0.888963043296905,0.7237762022904185,2.865521825231302
38,0.0902227413030783,23974,44.41850198826507,free_flow,highway,1680,5445,3.7131115255812848,0.0700759155752064,0.2271210478017852,5.7731876,2,0.8864269625427548,0.8708600984399767,0.9097772586969217,0.3641078643271075,3.7131115255812848
39,0.1626345207307916,23974,48.20233993572402,free_flow,highway,1064,3822,3.417412398484602,0.0443814131976307,0.1594227079335947,5.766285,6,0.86165846333528,0.8778537860459943,0.8373654792692085,0.6369845636649036,3.417412398484602
40,0.0556019020605656,23974,58.159108958647,free_flow,highway,1060,3156,2.517746987146128,0.0442145657795945,0.1316426128305664,5.9297867,6,0.9314674230416284,0.9228469731097578,0.9443980979394344,0.7430328676895614,2.517746987146128
41,0.0869275047968632,23974,52.3155789969557,free_flow,highway,968,2547,2.597218233112327,0.0403770751647618,0.1062400934345541,4.5902443,8,0.9185200634020189,0.9221517755346069,0.9130724952031368,0.7961991075700672,2.597218233112327
42,0.0873863351964628,23974,54.85658163407183,free_flow,highway,1074,3915,3.344405347857004,0.0447985317427212,0.1633019104029365,4.5250587,5,0.9059481104529907,0.9015044075526265,0.9126136648035372,0.670347682583937,3.344405347857004
43,0.054350546425294,23974,51.76139377513471,free_flow,highway,1271,4732,3.0022704159665032,0.0530157670810044,0.1973804955368315,3.1932728,6,0.9173104196212565,0.8984177303189567,0.945649453574706,0.5691255644168447,3.0022704159665032
44,0.0724534912822224,23974,61.50984278934455,free_flow,highway,866,1836,2.200926499739797,0.0361224660048385,0.0765829648786185,3.4232035,1,0.9339868190539752,0.9382803592781068,0.9275465087177777,0.8855112350876546,2.200926499739797
45,0.0724534912822224,23974,61.46601140984744,free_flow,highway,858,1791,2.278890755990948,0.0357887711687661,0.0747059314257111,1.5891383,1,0.9344289647117712,0.9390172687077668,0.9275465087177777,0.8911624299130971,2.278890755990948
